"","Name","Geography1","cat1","cat2","cat3","cat4","cat5","cat6","cat7","cat8","cat9","cat10","cat11","cat12","cat13","cat14","cat15","cat16","cat17","cat18"
"1","County Durham","Unitary Authority",27021,29989,28558,29134,35874,33461,30124,30570,27667,35419,39721,37361,33491,31637,30125,19870,14647,12311
"2","Darlington","Unitary Authority",5917,6650,6410,5656,5429,6267,6605,6637,6302,7395,7854,7485,6371,5960,5740,3937,3095,2856
"3","Hartlepool","Unitary Authority",5297,5957,5600,5192,5422,5990,6033,5423,4888,6172,6900,6775,5634,5296,4637,3082,2628,2316
"4","Middlesbrough","Unitary Authority",9657,9606,8579,8353,11650,10998,9376,8110,7316,8205,9021,8976,7931,6590,5857,4158,3335,2827
"5","Northumberland","Unitary Authority",14910,16975,17198,15922,14432,16516,17003,17703,17022,21377,24602,25453,23436,22593,21537,14037,10220,9338
"6","Redcar and Cleveland","Unitary Authority",7348,8259,7768,7108,7351,8244,8067,7383,6838,8882,10166,10065,8804,8342,8333,5848,4228,3684
"7","Stockton-on-Tees","Unitary Authority",11648,13134,12213,10815,10898,12999,13345,12602,11122,13223,14106,13658,11778,10463,9456,6413,4882,4458
"8","Tyne and Wear (Met County)","Metropolitan County",62271,65740,61037,63937,88351,84520,75908,71021,61919,73073,77762,76050,67146,59489,54676,37108,29761,26602
"9","Gateshead","Metropolitan District",10857,11626,10734,11205,12525,13301,14373,13463,11590,13431,14308,13940,11898,10634,10343,7331,5864,5085
"10","Newcastle upon Tyne","Metropolitan District",16630,17441,15246,20588,39899,29655,20716,17900,14978,16361,16756,16448,14351,12268,11004,7514,6289,6152
"11","North Tyneside","Metropolitan District",11471,11968,11601,10112,9880,11822,13463,14308,12607,14631,15283,14571,13103,11857,11178,7078,5677,5375
"12","South Tyneside","Metropolitan District",8359,8703,8272,7654,8388,9578,9752,9055,7957,9926,11365,11302,9919,8734,7823,5357,4260,3861
"13","Sunderland","Metropolitan District",14954,16002,15184,14378,17659,20164,17604,16295,14787,18724,20050,19789,17875,15996,14328,9828,7671,6129
"14","NORTH WEST","Region",434771,454136,427466,407334,465468,499669,475785,456491,414601,493194,516153,481784,410616,382358,364504,252081,185489,170193
"15","Blackburn with Darwen","Unitary Authority",10576,11152,10687,9833,9249,9720,10312,10457,9173,10089,9798,8939,7414,6649,5800,3892,2830,2372
"16","Blackpool","Unitary Authority",8365,8378,7763,7354,7948,8903,8334,7632,7263,9783,10809,9928,8443,7689,7680,5438,3942,3653
"17","Cheshire East","Unitary Authority",20262,22034,22020,19413,16905,19343,19748,21711,22482,28294,30173,28094,23623,23317,23639,15995,11968,11769
"18","Cheshire West and Chester","Unitary Authority",18571,19752,19177,18014,19473,19334,19094,19955,19432,24115,25587,24201,20852,20144,19822,13571,9980,9428
"19","Halton","Unitary Authority",7676,8488,8148,7075,7016,7934,8387,8102,7469,9046,8933,8922,7980,7538,6411,4025,2918,2364
"20","Warrington","Unitary Authority",11933,13102,12351,11365,10654,12838,13457,13716,12962,15653,16329,14600,11704,10758,10746,7639,5308,4432
"21","Cumbria","County",24066,26446,26606,25072,24418,26708,25737,26768,26192,34951,39147,38369,34234,33517,32374,22497,16247,15539
"22","Allerdale","Non-metropolitan District",4654,5323,5151,4985,4662,5173,4964,5212,4975,6951,7823,7322,6641,6716,6321,4424,3194,3036
"23","Barrow-in-Furness","Non-metropolitan District",3710,3670,3735,3531,3743,4085,3987,3637,3547,4722,5335,4849,4132,4010,4020,2897,1912,1615
"24","Carlisle","Non-metropolitan District",5909,6280,5935,5394,5914,6452,6094,6471,6034,7584,7928,8128,6901,6630,6043,4337,3234,3119
"25","Copeland","Non-metropolitan District",3474,3736,3661,3288,3395,4004,3771,3770,3588,4741,5463,5413,4831,4417,4127,2851,2104,1790
"26","Eden","Non-metropolitan District",2184,2608,2762,2515,2151,2550,2389,2609,2629,3734,4384,4337,3981,3986,3805,2570,1789,1898
"27","South Lakeland","Non-metropolitan District",4135,4829,5362,5359,4553,4444,4532,5069,5419,7219,8214,8320,7748,7758,8058,5418,4014,4081
"28","Greater Manchester (Met County)","Metropolitan County",183692,188451,173422,161110,193586,215938,206178,192026,166582,187385,190072,168875,139914,127679,120332,83152,59807,54368
"29","Bolton","Metropolitan District",19294,19976,18349,16614,16401,18634,19452,17905,17007,19887,19986,17776,14971,14082,13638,9369,6325,5706
"30","Bury","Metropolitan District",11819,12794,12001,10465,9981,12153,12612,12391,11331,13318,13856,12594,10135,9815,9645,6398,4699,4101
"31","Manchester","Metropolitan District",37768,36333,31354,34860,67607,65456,50663,41267,30548,29498,28390,23704,19212,15835,12754,9038,6925,6415
"32","Oldham","Metropolitan District",16792,17013,16354,14984,14061,15992,16114,15308,13441,15812,15884,14158,11870,10796,10404,7167,4988,4485
"33","Rochdale","Metropolitan District",15123,15466,14315,12727,12991,15104,15074,14561,12937,14868,15120,13784,11988,10791,9637,6543,4608,4364
"34","Salford","Metropolitan District",17614,16745,14642,13826,18940,23140,22343,18957,14321,15431,15974,14400,11655,10343,9636,6783,5040,4618
"35","Stockport","Metropolitan District",17631,18484,17562,15037,13534,16992,18295,19360,18134,20618,21375,19776,16913,15535,15142,10843,8387,8157
"36","Tameside","Metropolitan District",14500,14986,13425,12010,12479,15090,15190,14447,13018,15769,16907,15277,12388,11546,11152,7400,5302,4311
"37","Trafford","Metropolitan District",14701,16663,16174,13156,10431,12690,15094,17198,16659,17631,17335,15387,12473,10935,10362,7488,5932,6061
